Actual,Predicted
58.205,57.91241346889537
58.206,58.41143715853266
58.085,58.41143715853266
58.055,57.91241346889537
58.045,57.91241346889537
58.065,57.91241346889537
57.995,57.91241346889537
57.865,57.91241346889537
58.155,57.91241346889537
58.346,57.91241346889537
58.495,58.41143715853266
58.455,58.468437314719246
58.536,58.468437314719246
58.196,58.468437314719246
58.215,58.41143715853266
58.525,58.41143715853266
58.396,58.468437314719246
58.425,58.41143715853266
58.346,58.40287956233745
58.406,58.41143715853266
58.105,58.41143715853266
58.045,57.91241346889537
58.086,57.91241346889537
58.025,57.91241346889537
58.056,57.91241346889537
58.035,57.91241346889537
58.036,57.91241346889537
58.065,57.91241346889537
58.055,57.91241346889537
58.126,57.91241346889537
57.905,57.91241346889537
57.965,57.91241346889537
58.085,57.91241346889537
58.305,57.91241346889537
58.135,58.41143715853266
57.995,57.91241346889537
58.005,57.91241346889537
57.486,57.91241346889537
57.765,57.44198440704158
57.955,57.893341624143396
57.826,57.91241346889537
57.925,57.88478402794819
57.915,57.90385587270017
58.065,57.91241346889537
58.096,57.91241346889537
58.046,57.91241346889537
58.16,57.91241346889537
58.166,57.91241346889537
58.181,57.90385587270017
58.201,57.90385587270017
58.235,58.40287956233745
58.16,58.40287956233745
58.096,57.90385587270017
58.255,57.90385587270017
57.955,58.41143715853266
57.955,57.91241346889537
57.795,57.91241346889537
57.675,57.893341624143396
58.035,57.44198440704158
58.186,57.91241346889537
58.345,57.91241346889537
58.755,58.41143715853266
58.636,58.468437314719246
58.546,58.468437314719246
58.466,58.468437314719246
58.466,58.45987971852404
58.466,58.45987971852404
58.606,58.45987971852404
58.576,58.45987971852404
58.436,58.468437314719246
58.536,58.468437314719246
58.516,58.468437314719246
58.516,58.468437314719246
58.486,58.468437314719246
58.476,58.468437314719246
58.686,58.468437314719246
58.766,58.468437314719246
58.626,58.468437314719246
58.786,58.468437314719246
58.766,59.09059981387123
58.716,58.468437314719246
58.776,58.468437314719246
58.626,58.468437314719246
58.616,58.468437314719246
58.516,58.468437314719246
58.526,58.468437314719246
58.426,58.468437314719246
58.641,58.468437314719246
58.686,58.468437314719246
58.816,58.468437314719246
59.246,59.09059981387123
59.206,59.17989770807474
59.156,59.17989770807474
59.136,59.12048178023942
59.156,59.12048178023942
59.196,59.12048178023942
59.196,59.17989770807474
59.216,59.17989770807474
59.086,59.17989770807474
58.936,59.12048178023942
58.866,59.09059981387123
58.796,59.09059981387123
58.926,59.09059981387123
58.946,59.09059981387123
58.916,59.09059981387123
58.976,59.09059981387123
58.695,59.09059981387123
58.785,58.468437314719246
58.686,59.09059981387123
58.686,58.468437314719246
58.686,58.468437314719246
58.686,58.468437314719246
58.686,58.468437314719246
58.695,58.468437314719246
58.745,58.468437314719246
58.575,58.468437314719246
58.435,58.468437314719246
58.436,58.468437314719246
58.386,58.468437314719246
58.236,58.41143715853266
58.076,58.41143715853266
58.106,57.91241346889537
57.996,57.91241346889537
58.006,57.91241346889537
57.956,57.91241346889537
57.766,57.91241346889537
57.856,57.893341624143396
57.996,57.893341624143396
58.336,57.91241346889537
58.456,58.41143715853266
58.436,58.468437314719246
58.595,58.468437314719246
58.545,58.468437314719246
58.276,58.468437314719246
58.245,58.41143715853266
58.215,58.40287956233745
58.275,58.40287956233745
58.275,58.40287956233745
58.07,58.41143715853266
58.156,57.91241346889537
58.075,57.91241346889537
58.065,57.91241346889537
58.046,57.91241346889537
58.086,57.91241346889537
57.965,57.91241346889537
57.966,57.91241346889537
57.836,57.91241346889537
57.986,57.893341624143396
57.966,57.91241346889537
57.835,57.91241346889537
